lat_min,lat_max,lng_min,lng_max,count,center_lat,center_lng
22.28,22.29,114.15,114.16,2440.0,22.285,114.155
22.32,22.33,114.2,114.21,2077.0,22.325,114.205
22.28,22.29,114.14,114.15,1275.0,22.285,114.14500000000001
22.27,22.28,114.17,114.18,1262.0,22.275,114.17500000000001
22.3,22.31,114.17,114.18,1088.0,22.305,114.17500000000001
22.29,22.3,114.17,114.18,1079.0,22.295,114.17500000000001
22.27,22.28,114.19,114.2,1051.0,22.275,114.195
22.28,22.29,114.21,114.22,1008.0,22.285,114.215
22.3,22.31,114.18,114.19,965.0,22.305,114.185
22.31,22.32,114.22,114.23,962.0,22.314999999999998,114.225
22.27,22.28,114.18,114.19,956.0,22.275,114.185
22.36,22.37,114.12,114.13,931.0,22.365000000000002,114.125
22.31,22.32,114.16,114.17,910.0,22.314999999999998,114.16499999999999
22.31,22.32,114.17,114.18,907.0,22.314999999999998,114.17500000000001
22.27,22.28,114.16,114.17,870.0,22.275,114.16499999999999
22.32,22.33,114.16,114.17,836.0,22.325,114.16499999999999
22.28,22.29,114.19,114.2,791.0,22.285,114.195
22.31,22.32,114.18,114.19,791.0,22.314999999999998,114.185
22.3,22.31,114.16,114.17,783.0,22.305,114.16499999999999
22.36,22.37,114.11,114.12,751.0,22.365000000000002,114.11500000000001
22.34,22.35,114.2,114.21,748.0,22.345,114.205
22.33,22.34,114.15,114.16,692.0,22.335,114.155
22.34,22.35,114.19,114.2,645.0,22.345,114.195
22.3,22.31,114.25,114.26,615.0,22.305,114.255
22.28,22.29,114.13,114.14,612.0,22.285,114.13499999999999
22.3,22.31,114.23,114.24,596.0,22.305,114.235
22.32,22.33,114.21,114.22,582.0,22.325,114.215
22.33,22.34,114.16,114.17,571.0,22.335,114.16499999999999
22.36,22.37,114.13,114.14,563.0,22.365000000000002,114.13499999999999
22.31,22.32,114.23,114.24,547.0,22.314999999999998,114.235
22.31,22.32,114.21,114.22,540.0,22.314999999999998,114.215
22.32,22.33,114.15,114.16,537.0,22.325,114.155
22.37,22.38,114.11,114.12,536.0,22.375,114.11500000000001
22.29,22.3,114.2,114.21,527.0,22.295,114.205
22.27,22.28,114.15,114.16,521.0,22.275,114.155
22.32,22.33,114.18,114.19,487.0,22.325,114.185
22.32,22.33,114.17,114.18,482.0,22.325,114.17500000000001
22.26,22.27,114.23,114.24,479.0,22.265,114.235
22.3,22.31,114.22,114.23,470.0,22.305,114.225
0.0,0.01,0.0,0.01,468.0,0.005,0.005
22.33,22.34,114.14,114.15,467.0,22.335,114.14500000000001
22.45,22.46,114.0,114.01,456.0,22.455,114.005
22.37,22.38,114.13,114.14,448.0,22.375,114.13499999999999
22.3,22.31,114.26,114.27,447.0,22.305,114.265
22.26,22.27,114.18,114.19,438.0,22.265,114.185
22.37,22.38,114.17,114.18,435.0,22.375,114.17500000000001
22.24,22.25,114.15,114.16,428.0,22.244999999999997,114.155
22.29,22.3,114.27,114.28,425.0,22.295,114.275
22.33,22.34,114.19,114.2,421.0,22.335,114.195
22.28,22.29,114.22,114.23,418.0,22.285,114.225
22.31,22.32,114.26,114.27,418.0,22.314999999999998,114.265
22.43,22.44,114.03,114.04,408.0,22.435000000000002,114.035
22.33,22.34,114.2,114.21,403.0,22.335,114.205
22.32,22.33,114.25,114.26,388.0,22.325,114.255
22.44,22.45,114.02,114.03,385.0,22.445,114.025
22.29,22.3,114.23,114.24,382.0,22.295,114.235
22.38,22.39,113.97,113.98,377.0,22.384999999999998,113.975
22.28,22.29,114.18,114.19,369.0,22.285,114.185
22.33,22.34,114.17,114.18,363.0,22.335,114.17500000000001
22.37,22.38,114.19,114.2,361.0,22.375,114.195
22.28,22.29,114.12,114.13,346.0,22.285,114.125
22.36,22.37,114.17,114.18,345.0,22.365000000000002,114.17500000000001
22.41,22.42,114.22,114.23,334.0,22.415,114.225
22.33,22.34,114.21,114.22,331.0,22.335,114.215
22.25,22.26,114.13,114.14,324.0,22.255000000000003,114.13499999999999
22.32,22.33,114.22,114.23,317.0,22.325,114.225
22.33,22.34,114.18,114.19,311.0,22.335,114.185
22.28,22.29,114.16,114.17,311.0,22.285,114.16499999999999
22.28,22.29,114.17,114.18,310.0,22.285,114.17500000000001
22.35,22.36,114.12,114.13,309.0,22.355,114.125
22.38,22.39,114.2,114.21,306.0,22.384999999999998,114.205
