Name-Exit,longitude,latitude,Station,distance,station
ETS-P2,114.1760893,22.29724299,ETS,1020.357515425977,尖東
HKU-C2,114.1326382,22.28595348,HKU,1005.9779489238815,香港大學
ETS-P1,114.1760463,22.29707892,ETS,1003.2710195093117,尖東
ETS-P3,114.1753603,22.29722912,ETS,974.8319691751162,尖東
ETS-N2,114.1740417,22.29779038,ETS,960.8844158247645,尖東
ETS-N1,114.1743475,22.29755914,ETS,952.1385401784538,尖東
ETS-N3,114.1742283,22.29741681,ETS,932.412362707084,尖東
ETS-N4,114.1737431,22.29717038,ETS,885.4417576274603,尖東
ETS-N5,114.1726466,22.29705643,ETS,830.5427075890175,尖東
HOK-A,114.157798,22.2829373,HOK,817.3634518604274,香港
HKU-B2,114.1351844,22.28556424,HKU,792.6615440133553,香港大學
HOK-C,114.1575622,22.28330366,HOK,785.7093190832024,香港
DIS-A,114.0447885,22.3152914,DIS,749.3426306916678,迪士尼
HKU-C1,114.1346175,22.28451326,HKU,747.37243538898,香港大學
ETS-K,114.1736463,22.29557773,ETS,724.8456975177501,尖東
SYP-C,114.1433555,22.28440284,SYP,711.7182552979195,西營盤
KSR-B,114.0631277,22.43570746,KSR,711.4137127620387,錦上路
NAC-D1,114.1552456,22.32586679,NAC,708.7604097924536,南昌
ETS-L1,114.1730909,22.29568386,ETS,707.5105408736385,尖東
HKU-B1,114.1368551,22.28565352,HKU,707.0342944134746,香港大學
CKT-A,114.1858639,22.37503017,CKT,702.6558615888342,車公廟
CSW-A1,114.1572406,22.33432955,CSW,691.4542137674949,長沙灣
ETS-L5,114.1702028,22.29615248,ETS,684.4426618827724,尖東
NAC-C,114.1540679,22.32515413,NAC,682.2151037822678,南昌
HOK-B2,114.1588334,22.28401784,HOK,675.9284377819884,香港
CKT-B,114.1858687,22.37471902,CKT,675.1292010900384,車公廟
KSR-A,114.0627737,22.43550358,KSR,675.1144635336012,錦上路
LMC-A,114.0661698,22.5149317,LMC,674.9211865990239,落馬洲
CSW-B,114.1553627,22.33580125,CSW,667.4260246651492,長沙灣
HOK-B1,114.1585935,22.2841582,HOK,665.5027185408759,香港
KOT-C2,114.1745806,22.33675241,KOT,664.1421983454217,九龍塘
KOW-E6,114.1616896,22.30574801,KOW,662.3636408425707,九龍
ETS-L3,114.1720526,22.29563453,ETS,661.16418052933,尖東
CKT-C,114.1866264,22.37503596,CKT,658.7133526479955,車公廟
CHW-D,114.2374362,22.26539226,CHW,655.0702993482057,柴灣
ETS-J,114.1739031,22.29465229,ETS,654.8795859702464,尖東
KOW-E5,114.1616217,22.30559808,KOW,644.4477257467781,九龍
TIS-E3,114.0062073,22.4495813,TIS,639.6083131097571,天水圍
LET-A1,114.1554625,22.24391634,LET,638.5408779934584,利東
CKT-E,114.1868624,22.37494991,CKT,637.9905527429811,車公廟
ETS-L4,114.171302,22.29560378,ETS,637.3479076018828,尖東
KOB-B,114.2138327,22.32445806,KOB,633.3698107925323,九龍灣
TIS-E2,114.0061385,22.44964381,TIS,632.0831213273059,天水圍
CSW-A3,114.157093,22.33501219,CSW,630.0762908081435,長沙灣
KSR-C,114.0641672,22.43415299,KSR,629.841425060807,錦上路
CKT-D,114.1866311,22.37472881,CKT,629.6704208384524,車公廟
CSW-C2,114.1552752,22.33645879,CSW,625.4564928767512,長沙灣
HOK-D,114.1572969,22.28496296,HOK,625.3423688346057,香港
CSW-A2,114.1576431,22.33482005,CSW,624.916148370514,長沙灣
CKT-F,114.1871135,22.37494272,CKT,624.627258652235,車公廟
TIS-E1,114.0060638,22.4496933,TIS,624.09662749991,天水圍
KOW-E4,114.1615408,22.30540796,KOW,621.8787692018659,九龍
CSW-C1,114.1564316,22.33554332,CSW,616.6670732766379,長沙灣
FOT-A,114.1980722,22.3947644,FOT,614.9829643336316,火炭
LHP-A,114.267729,22.29489555,LHP,613.7960732615797,康城
HOK-E,114.157025,22.28525264,HOK,610.2060982814595,香港
CHW-C,114.2370924,22.26476621,CHW,608.6081853311255,柴灣
TIK-A1,114.2531045,22.30463892,TIK,606.6953554840434,調景嶺
FOT-B,114.1976873,22.39499426,FOT,605.2670552215204,火炭
KOW-A,114.1621904,22.30503853,KOW,603.8781418099248,九龍
